timestamp,time,rrd_in_bps,rrd_out_bps,iperf_server_in_bps,iperf_server_out_bps,cpu_load,mem_avail,swap_out,io_sent
1760697000,2025-10-17 17:30:00,1189109.2382222223,243050.9608888889,999760.3491034711,,109.33333333333333,308338.8,0.0,261.7848888888889
1760697300,2025-10-17 17:35:00,1093048.216516796,7847.208156515319,999952.1425445293,,103.26666666666667,245734.13333333333,0.0,147.57333333333332
1760697600,2025-10-17 17:40:00,1093730.193972093,7504.270421262458,999984.9212826069,,103.36666666666666,244492.4,0.0,126.58133333333333
1760697900,2025-10-17 17:45:00,1095272.2864,7454.799466666666,999952.3627886646,,105.53333333333333,239882.4,0.0,124.57244444444446
1760698200,2025-10-17 17:50:00,1094297.1730666668,7368.682933333333,999886.6452894664,,102.56666666666666,250999.73333333334,0.0,123.43644444444445
1760698500,2025-10-17 17:55:00,931730.5274666667,201925.2432,999919.6696252609,,55.03333333333333,241906.66666666666,0.0,140.86311111111112
1760698800,2025-10-17 18:00:00,311956.5632,822606.6168,1000026.438275905,1000021.4164071155,13.8,222268.8,0.0,153.23555555555558
1760699100,2025-10-17 18:05:00,4267.852533333334,1119855.6045333333,,999984.9774712599,6.266666666666667,215548.13333333333,0.0,137.22068660022148
1760699400,2025-10-17 18:10:00,4511.498666666667,1119699.5909333332,,1000017.7626755607,8.89,205348.92,0.0,124.7227800664452
1760699700,2025-10-17 18:15:00,4354.699733333333,1119989.9445333334,,999984.980013639,19.45,200449.0,0.0,125.4264
1760700000,2025-10-17 18:20:00,4823.407447045708,1115534.7408222966,,1000017.7375240871,14.29,461182.08,0.0,126.56970969899665
1760700300,2025-10-17 18:25:00,5437.562121060605,994263.7944184565,,999985.0211644451,6.733333333333333,379513.2,0.0,141.51197918989226
1760700600,2025-10-17 18:30:00,3652.026431893688,345677.2954259136,,1000731.1986113865,6.633333333333334,247994.8,0.0,136.152
